YEAR,HWTSUPP,ASECFLAG,HFLAG,HHBRACKET99,CPI99,MONTH,WTSUPP,NRESP
1968,29468.93,NA,NA,157000,4.988,3,29759.48,23
1968,52940.98,NA,NA,158000,4.988,3,52724.68,41
1968,15402.95,NA,NA,159000,4.988,3,15218.66,12
1968,78609.72,NA,NA,160000,4.988,3,80024.95,57
1968,21255.28,NA,NA,161000,4.988,3,21737.04,17
1968,35833.8,NA,NA,162000,4.988,3,37160.83,28
1968,19690.22,NA,NA,163000,4.988,3,20109.05,16
1968,50438.09,NA,NA,164000,4.988,3,52025.4,42
1968,28945.97,NA,NA,165000,4.988,3,28739.38,23
1968,41793.21,NA,NA,166000,4.988,3,43201.64,33
1968,45597.62,NA,NA,167000,4.988,3,48938.35,36
1968,5326.24,NA,NA,168000,4.988,3,5374.27,4
1968,8936.57,NA,NA,169000,4.988,3,8949.69,7
1968,43979.38,NA,NA,170000,4.988,3,43525.26,35
1968,9442.49,NA,NA,171000,4.988,3,10222.03,7
1968,23485.52,NA,NA,173000,4.988,3,22854.27,18
1968,24137.61,NA,NA,174000,4.988,3,24929.42,20
1968,54548.24,NA,NA,175000,4.988,3,55185.75,46
1968,34721.17,NA,NA,176000,4.988,3,34635,27
1968,15119.43,NA,NA,177000,4.988,3,15140.19,12
1968,18284.29,NA,NA,178000,4.988,3,18457.14,14
1968,22209.98,NA,NA,179000,4.988,3,24109.8,18
1968,91809.69,NA,NA,180000,4.988,3,91134.2,67
1968,36566.57,NA,NA,181000,4.988,3,36456.72,28
1968,13499.26,NA,NA,182000,4.988,3,13236.86,10
1968,46181.6,NA,NA,183000,4.988,3,46251.32,37
1968,12651,NA,NA,184000,4.988,3,12598.84,10
1968,47615.74,NA,NA,185000,4.988,3,47684.33,37
1968,43706.44,NA,NA,186000,4.988,3,44584.82,34
1968,15571.4,NA,NA,187000,4.988,3,15451.3,12
1968,20009.8,NA,NA,188000,4.988,3,19712.05,16
1968,12688.66,NA,NA,189000,4.988,3,13030.58,10
1968,7106.82,NA,NA,190000,4.988,3,7050.58,6
1968,24944.52,NA,NA,191000,4.988,3,24784.98,8
1968,7267.65,NA,NA,192000,4.988,3,6899.71,5
1968,16004.94,NA,NA,193000,4.988,3,16028.14,13
1968,12325.02,NA,NA,194000,4.988,3,12712.1,10
1968,6646.2,NA,NA,195000,4.988,3,6402.88,5
1968,24316.25,NA,NA,196000,4.988,3,25433.39,17
1968,8373.27,NA,NA,197000,4.988,3,8391.6,6
1968,7513.8,NA,NA,198000,4.988,3,7785.17,6
1968,18654.59,NA,NA,199000,4.988,3,19150.13,15
1968,59720.72,NA,NA,2e+05,4.988,3,60098.69,47
1968,15597.07,NA,NA,201000,4.988,3,15835.6,12
1968,13971.33,NA,NA,203000,4.988,3,13896.7,12
1968,3976.05,NA,NA,204000,4.988,3,3982.46,3
1968,29082.27,NA,NA,205000,4.988,3,28910.87,22
1968,24453.38,NA,NA,206000,4.988,3,24315.21,19
1968,11141.28,NA,NA,207000,4.988,3,10827.81,9
1968,20567.59,NA,NA,208000,4.988,3,20953.95,17
1968,12878.7,NA,NA,209000,4.988,3,12229.52,10
1968,20797.15,NA,NA,210000,4.988,3,21009.77,16
1968,4727.56,NA,NA,211000,4.988,3,4567.69,4
1968,13790.59,NA,NA,213000,4.988,3,14127.76,11
1968,11823.15,NA,NA,215000,4.988,3,12364.53,9
1968,7928.84,NA,NA,216000,4.988,3,8501.08,6
1968,10411.96,NA,NA,217000,4.988,3,10416.06,8
1968,14231.56,NA,NA,218000,4.988,3,14112.69,11
1968,4613.88,NA,NA,219000,4.988,3,4810.94,4
1968,4954.88,NA,NA,220000,4.988,3,4954.88,4
1968,4835.84,NA,NA,221000,4.988,3,4772.06,4
1968,6099.14,NA,NA,222000,4.988,3,6044.92,5
1968,13922.04,NA,NA,225000,4.988,3,14306.33,11
1968,13675.66,NA,NA,226000,4.988,3,14046.58,11
1968,10501.05,NA,NA,227000,4.988,3,10477.67,8
1968,8884.78,NA,NA,228000,4.988,3,9253.55,7
1968,6664.15,NA,NA,229000,4.988,3,6637.1,5
1968,1301.29,NA,NA,230000,4.988,3,1301.29,1
1968,4958.32,NA,NA,231000,4.988,3,4971.65,4
1968,15215.04,NA,NA,232000,4.988,3,14785.94,12
1968,3748.26,NA,NA,233000,4.988,3,4251.46,3
1968,8050.2,NA,NA,234000,4.988,3,7790.31,6
1968,9820.48,NA,NA,235000,4.988,3,10195.7,8
1968,29283.04,NA,NA,236000,4.988,3,29152.39,8
1968,4778.28,NA,NA,237000,4.988,3,4799.46,4
1968,5223.16,NA,NA,238000,4.988,3,5240.4,4
1968,7501.02,NA,NA,240000,4.988,3,7455.45,6
1968,2864.2,NA,NA,241000,4.988,3,2703.38,2
1968,3893.07,NA,NA,242000,4.988,3,3859.18,3
1968,3769.2,NA,NA,246000,4.988,3,3637.71,3
1968,7004.5,NA,NA,247000,4.988,3,7271.94,5
